GEO.id,state_name,state_population
1,Alabama,4850771
2,Alaska,738565
4,Arizona,6809946
5,Arkansas,2977944
6,California,38982847
8,Colorado,5436519
9,Connecticut,3594478
10,Delaware,943732
12,Florida,20278447
13,Georgia,10201635
16,Idaho,1657375
17,Illinois,12854526
18,Indiana,6614418
19,Iowa,3118102
20,Kansas,2903820
21,Kentucky,4424376
22,Louisiana,4663461
23,Maine,1330158
24,Maryland,5996079
25,Massachusetts,6789319
26,Michigan,9925568
27,Minnesota,5490726
28,Mississippi,2986220
29,Missouri,6075300
30,Montana,1029862
31,Nebraska,1893921
32,Nevada,2887725
33,New Hampshire,1331848
34,New Jersey,8960161
35,New Mexico,2084828
36,New York,19798228
37,North Carolina,10052564
38,North Dakota,745475
39,Ohio,11609756
40,Oklahoma,3896251
41,Oregon,4025127
42,Pennsylvania,12790505
44,Rhode Island,1056138
45,South Carolina,4893444
46,South Dakota,855444
47,Tennessee,6597381
48,Texas,27419612
49,Utah,2993941
50,Vermont,624636
51,Virginia,8365952
53,Washington,7169967
54,West Virginia,1836843
55,Wisconsin,5763217
56,Wyoming,583200
