eventDate,year,month,day,decimalLatitude,decimalLongitude,geodeticDatum,scientificName,
2003-08-20T00:00:00Z,2003,8,20,-33.92,151.25,EPSG:4326,Neophema (Neonanodes) chrysogaster,
1907-01-01T00:00:00Z,1907,1,1,-33.75,150.92,EPSG:4326,Neophema (Neonanodes) chrysogaster,
2003-08-09T00:00:00Z,2003,8,9,-33.92,151.25,EPSG:4326,Neophema (Neonanodes) chrysogaster,
2003-05-01T00:00:00Z,2003,5,1,-34.58,150.92,EPSG:4326,Neophema (Neonanodes) chrysogaster,
1995-06-01T00:00:00Z,1995,6,1,-36.08,146.92,EPSG:4326,Neophema (Neonanodes) chrysogaster,
1986-06-12T00:00:00Z,1986,6,12,-34.92,150.75,EPSG:4326,Neophema (Neonanodes) chrysogaster,
1986-06-08T00:00:00Z,1986,6,8,-34.92,150.75,EPSG:4326,Neophema (Neonanodes) chrysogaster,
2003-05-20T00:00:00Z,2003,5,20,-34.58,150.92,EPSG:4326,Neophema (Neonanodes) chrysogaster,
2003-08-18T00:00:00Z,2003,8,18,-33.92,151.25,EPSG:4326,Neophema (Neonanodes) chrysogaster,
1997-11-01T00:00:00Z,1997,11,1,-31.25,142.92,EPSG:4326,Neophema (Neonanodes) chrysogaster,
2003-05-26T00:00:00Z,2003,5,26,-34.58,150.92,EPSG:4326,Neophema (Neonanodes) chrysogaster,
2003-08-16T00:00:00Z,2003,8,16,-33.92,151.25,EPSG:4326,Neophema (Neonanodes) chrysogaster,
2003-08-12T00:00:00Z,2003,8,12,-33.92,151.25,EPSG:4326,Neophema (Neonanodes) chrysogaster,
1845-01-01T00:00:00Z,1845,1,1,-33.92,151.25,EPSG:4326,Neophema (Neonanodes) chrysogaster,
2003-05-17T00:00:00Z,2003,5,17,-34.58,150.92,EPSG:4326,Neophema (Neonanodes) chrysogaster,
1926-11-01T00:00:00Z,1926,11,1,-37.3,139.7,EPSG:4326,Neophema (Neonanodes) chrysogaster,
2001-09-19T00:00:00Z,2001,9,19,-38.2518,144.699,EPSG:4326,Neophema (Neonanodes) chrysogaster,
1987-07-26T00:00:00Z,1987,7,26,-38.0401,144.6263,EPSG:4326,Neophema (Neonanodes) chrysogaster,
1978-09-01T00:00:00Z,1978,9,1,-38.2485,144.5846,EPSG:4326,Neophema (Neonanodes) chrysogaster,
1984-08-23T00:00:00Z,1984,8,23,-38.2511,144.6647,EPSG:4326,Neophema (Neonanodes) chrysogaster,
1999-07-28T00:00:00Z,1999,7,28,-38.2529,144.6635,EPSG:4326,Neophema (Neonanodes) chrysogaster,
1988-09-02T00:00:00Z,1988,9,2,-38.2511,144.6647,EPSG:4326,Neophema (Neonanodes) chrysogaster,
1986-04-06T00:00:00Z,1986,4,6,-40.1401,143.9263,EPSG:4326,Neophema (Neonanodes) chrysogaster,
1993-04-18T00:00:00Z,1993,4,18,-38.0404,144.537,EPSG:4326,Neophema (Neonanodes) chrysogaster,
1999-07-11T00:00:00Z,1999,7,11,-38.043,144.5312,EPSG:4326,Neophema (Neonanodes) chrysogaster,
1993-05-16T00:00:00Z,1993,5,16,-38.0325,144.5464,EPSG:4326,Neophema (Neonanodes) chrysogaster,
1991-08-18T00:00:00Z,1991,8,18,-38.2511,144.6647,EPSG:4326,Neophema (Neonanodes) chrysogaster,
1998-08-05T00:00:00Z,1998,8,5,-38.031,144.5191,EPSG:4326,Neophema (Neonanodes) chrysogaster,
1991-07-02T00:00:00Z,1991,7,2,-38.2511,144.6647,EPSG:4326,Neophema (Neonanodes) chrysogaster,
1983-07-15T00:00:00Z,1983,7,15,-38.2539,144.6658,EPSG:4326,Neophema (Neonanodes) chrysogaster,
2000-08-17T00:00:00Z,2000,8,17,-38.248,144.6854,EPSG:4326,Neophema (Neonanodes) chrysogaster,
1994-08-11T00:00:00Z,1994,8,11,-38.0544,144.5172,EPSG:4326,Neophema (Neonanodes) chrysogaster,
1988-05-11T00:00:00Z,1988,5,11,-40.1401,143.9263,EPSG:4326,Neophema (Neonanodes) chrysogaster,
1992-08-03T00:00:00Z,1992,8,3,-38.2568,144.6763,EPSG:4326,Neophema (Neonanodes) chrysogaster,
1978-12-31T00:00:00Z,1978,12,31,-38.0818,144.5846,EPSG:4326,Neophema (Neonanodes) chrysogaster,
1983-10-24T00:00:00Z,1983,10,24,-38.2568,144.6763,EPSG:4326,Neophema (Neonanodes) chrysogaster,
1994-07-24T00:00:00Z,1994,7,24,-38.0387,144.5405,EPSG:4326,Neophema (Neonanodes) chrysogaster,
,,,,-37.7485,144.7513,EPSG:4326,Neophema (Neonanodes) chrysogaster,
1972-01-01T00:00:00Z,1972,1,1,-38.2318,144.718,EPSG:4326,Neophema (Neonanodes) chrysogaster,
1884-10-22T00:00:00Z,1884,10,22,-38.3818,142.2013,EPSG:4326,Neophema (Neonanodes) chrysogaster,
1986-04-18T00:00:00Z,1986,4,18,-40.1401,143.9263,EPSG:4326,Neophema (Neonanodes) chrysogaster,
1990-05-30T00:00:00Z,1990,5,30,-38.05,144.523,EPSG:4326,Neophema (Neonanodes) chrysogaster,
1984-05-27T00:00:00Z,1984,5,27,-38.05,144.4997,EPSG:4326,Neophema (Neonanodes) chrysogaster,
1994-08-21T00:00:00Z,1994,8,21,-38.0395,144.5382,EPSG:4326,Neophema (Neonanodes) chrysogaster,
1952-03-19T00:00:00Z,1952,3,19,-38.6651,146.9179,EPSG:4326,Neophema (Neonanodes) chrysogaster,
1994-06-19T00:00:00Z,1994,6,19,-38.049,144.5185,EPSG:4326,Neophema (Neonanodes) chrysogaster,
1994-08-11T00:00:00Z,1994,8,11,-38.0544,144.5172,EPSG:4326,Neophema (Neonanodes) chrysogaster,
1987-08-16T00:00:00Z,1987,8,16,-38.0588,144.5113,EPSG:4326,Neophema (Neonanodes) chrysogaster,
1986-09-12T00:00:00Z,1986,9,12,-38.2511,144.6647,EPSG:4326,Neophema (Neonanodes) chrysogaster,
1992-04-30T00:00:00Z,1992,4,30,-38.0068,144.5596,EPSG:4326,Neophema (Neonanodes) chrysogaster,
1989-09-01T00:00:00Z,1989,9,1,-38.2511,144.6647,EPSG:4326,Neophema (Neonanodes) chrysogaster,
1992-09-21T00:00:00Z,1992,9,21,-38.2568,144.6763,EPSG:4326,Neophema (Neonanodes) chrysogaster,
1970-01-01T00:00:00Z,1970,1,1,-38.0408,144.5119,EPSG:4326,Neophema (Neonanodes) chrysogaster,
1994-05-15T00:00:00Z,1994,5,15,-38.0544,144.5172,EPSG:4326,Neophema (Neonanodes) chrysogaster,
1994-08-21T00:00:00Z,1994,8,21,-38.0561,144.5125,EPSG:4326,Neophema (Neonanodes) chrysogaster,
2005-09-18T00:00:00Z,2005,9,18,-38.0459,144.5402,EPSG:4326,Neophema (Neonanodes) chrysogaster,
1986-07-18T00:00:00Z,1986,7,18,-38.2511,144.6647,EPSG:4326,Neophema (Neonanodes) chrysogaster,
2000-10-06T00:00:00Z,2000,10,6,-38.2511,144.6647,EPSG:4326,Neophema (Neonanodes) chrysogaster,
